"mixture","lab","polarity","compound","adduct","source","areaUnderTic","xicFwhm","maxIntensity","apex_rt","snr","baseline","noise","n_scans_in_shape","prior_kind","detection","sample","aligned_rt","decile","factor_global","factor_decile","factor_loess","maxIntensity_global","maxIntensity_decile","maxIntensity_loess","areaUnderTic_global","areaUnderTic_decile","areaUnderTic_loess"
"1.1","afekta","neg","5-hydroxy-L-tryptophan","[M - H]-","consensus",1538623.77423042,1.79499999996,709043.5625,42.22099999998,10275.2469334267,285.470657348633,68.9772320251465,4,"consensus","detected",20,38.5005102246786,2,1.40685964336249,1.23711139872078,1.12476429800069,997524.77346722,877165.873358341,797506.884827221,2164627.69428286,1903449.00944324,1730589.08930945
"1.1","afekta","neg","D-alpha-aminobutyric acid","[M - H]-","consensus",NA,NA,NA,84.11200000002,-0.111693484934825,317.952117919922,83.3465366592407,5,"consensus","below_detection",20,82.3066932284475,3,1.40685964336249,1.46407398228802,1.26108466393109,NA,NA,NA,NA,NA,NA
"1.1","afekta","neg","L-citrulline","[M - H]-","consensus",1080818.00038599,4.18899999996,19076.3203125,28.45699999998,1931.13115604978,250.75,9.74846801757815,5,"consensus","detected",20,28.0930388395442,1,1.40685964336249,0.975338234237239,NA,26837.7051915124,18605.8645693377,NA,1520559.22656279,1054163.12002829,NA
"1.1","afekta","neg","L-homoserine","[M - H]-","consensus",635770.096858602,4.78699999998,9718.8271484375,27.85900000002,173.596766622263,298.612487792969,54.2649200439453,5,"consensus","detected",20,27.565997449977,1,1.40685964336249,0.975338234237239,NA,13673.0256959525,9479.14370981397,NA,894439.291727029,620090.883650907,NA
"1.1","afekta","neg","L-lysine","[M - H]-","consensus",99425.9061330505,1.79599999998,42650.4296875,23.67,403.3342680988,312.465057373047,104.96991696167,4,"consensus","detected",20,NA,NA,1.40685964336249,NA,NA,60003.1682994132,NA,NA,139878.294843336,NA,NA
"1.1","afekta","neg","L-valine","[M - H]-","consensus",124998.849967274,11.37,761.427307128906,34.44199999998,7.40136809728836,276.329681396484,65.541616003418,5,"consensus","detected",20,32.294433904893,2,1.40685964336249,1.23711139872078,1.10615554489137,1071.22134975383,941.970400946439,842.257037812344,175855.837485681,154637.502121503,138268.170996345
"1.1","afekta","neg","N(6)-acetyl-L-lysine","[M - H]-","consensus",1411133.89345322,4.18899999996,67675.3125,30.25300000002,3410.13506050469,265.871292114258,19.7673816467285,4,"consensus","detected",20,29.4776780577938,1,1.40685964336249,0.975338234237239,1.09797683528546,95209.6660081951,66006.3197952033,74305.9254457048,1985267.32608032,1376332.83991298,1549392.32649782
"1.1","afekta","neg","N-acetyl-L-cysteine","[M - H]-","consensus",NA,NA,NA,78.12799999998,3.76742140079338,609.201538085938,866.02102355957,5,"consensus","below_detection",20,75.5812075684149,3,1.40685964336249,1.46407398228802,1.23940228005137,NA,NA,NA,NA,NA,NA
"1.1","afekta","neg","N-alpha-acetyl-L-asparagine","[M - H]-","own",4456642.04177399,1.79600000004,1984428.125,27.85900000002,44743.748712558,276.148071289062,44.3447863449097,4,"own","detected",20,27.565997449977,1,1.40685964336249,0.975338234237239,NA,2791811.844216,1935488.62340821,NA,6269869.83348444,4346733.37965129,NA
"1.1","afekta","neg","O(4)-phospho-L-tyrosine","[M - H]-","own",2069287.16511837,13.764,74371.375,35.63899999998,49.4559503606652,6438.66650390625,1373.60030493164,5,"consensus","detected",20,33.154569759164,2,1.40685964336249,1.23711139872078,1.10869282507153,104630.086108878,92005.6757510378,82455.009853204,2911196.60313301,2559938.73919455,2294203.83297934
"1.1","afekta","neg","alpha-D-glucosamine 6-phosphate","[M - H]-","consensus",1090265.74007153,5.98399999998,66431.171875,27.85900000002,201.314181872956,1066.2724609375,324.690982055664,5,"consensus","detected",20,27.565997449977,1,1.40685964336249,0.975338234237239,NA,93459.3347722148,64792.861874873,NA,1533850.87024737,1063377.86177072,NA
"1.1","afekta","neg","carnosine","[M - H]-","own",967913.532249368,1.79500000002,368459.1875,24.867,10678.7454737455,261.173065185547,34.4795196533203,5,"own","detected",20,NA,NA,1.40685964336249,NA,NA,518370.361119883,NA,NA,1361718.48678607,NA,NA
"1.1","afekta","neg","glutathione","[M - H]-","consensus",747009.375096409,1.197,332256.53125,29.65399999998,3804.52740339425,290.510650634766,87.2555209625244,4,"consensus","detected",20,29.0430910710691,1,1.40685964336249,0.975338234237239,NA,467438.305059233,324062.498503165,NA,1050937.34303657,728586.804865195,NA
"1.1","afekta","neg","guanosine 5'-monophosphate","[M - H]-","own",1619474.36709989,18.552,48588.0859375,37.434,35.1760775742412,6656.76611328125,1192.04080488281,5,"own","detected",20,34.5146917096645,2,1.40685964336249,1.23711139872078,1.11273717391152,68356.6172536973,60108.8749553062,54065.7694318637,2278373.13053285,2003470.1994754,1802049.33046887
"1.1","afekta","neg","homocystine","[M - H]-","own",926144.555853933,1.19599999998,445587.9375,26.66200000002,25698.3658199872,254.640625,17.3292457580566,3,"consensus","detected",20,26.3835491990058,1,1.40685964336249,0.975338234237239,NA,626879.686837878,434598.952158663,NA,1302955.39955078,903304.195755007,NA
"1.1","afekta","neg","uridine 5'-monophosphate","[M - H]-","consensus",2881242.57432121,11.37,98031.8203125,33.24499999998,93.6406825303009,4654.48583984375,997.187674731445,5,"consensus","detected",20,31.4744252851197,1,1.40685964336249,0.975338234237239,1.10375292697616,137917.01176302,95614.182522656,108202.908606723,4053503.90055036,2810186.0448476,3180179.92473537
"1.2","afekta","neg","(2R)-2-acetamidopropanoic acid","[M - H]-","consensus",5761492.86154686,37.70200000002,1480.330078125,60.63100000002,13.6333621511532,300.777893066406,86.5195372924805,5,"consensus","detected",21,56.567913495936,2,1.17379861679631,1.33586960134486,1.03384667163309,1737.6093981051,1977.52795132365,1530.43432418788,6762832.35156554,7696603.17210586,5956500.218548
"1.2","afekta","neg","D-erythronic acid","[M - H]-","consensus",4192089.42789942,1.197,1764001.875,26.52,10092.2555000879,503.234039306641,174.737811676025,5,"consensus","detected",21,26.2312487789778,1,1.17379861679631,0.692868208189322,NA,2070582.9609011,1222220.81837385,NA,4920668.77195479,2904565.49047807,NA
